sector,n_predictions,event_auc,sentiment_auc,combined_auc,event_beats_sentiment,event_advantage,prevalence_shift,reliability
Communication Services,106,0.5860805860805861,0.431266846361186,0.559748427672956,True,0.1548137397194001,0.0010664479081213818,High
Consumer Discretionary,271,0.6081612586037365,0.595579133510168,0.6389036251105216,True,0.012582125093568486,0.14238989792495327,Low
Consumer Staples,218,0.5705128205128205,0.46568627450980393,0.5294117647058824,True,0.10482654600301655,0.02929171201990355,High
Energy,109,0.5938983050847457,0.6388888888888888,0.6416666666666667,False,-0.044990583804143114,0.20956883865109432,Low
Financials,386,0.7139947528307098,0.6185231991334175,0.7543780465788048,True,0.09547155369729232,0.024411089151220478,High
Health Care,305,0.6531299178178003,0.4625305324865657,0.6254030288226673,True,0.19059938533123455,0.10770736481526799,Low
Industrials,379,0.5608565580223587,0.5308200628317625,0.5678691366049182,True,0.030036495190596146,0.027970423519350973,High
Information Technology,366,0.4788134080605433,0.5339611872146119,0.4746955859969559,False,-0.055147779154068655,0.032270166199495964,High
Materials,107,0.4839544513457557,0.5255102040816326,0.413265306122449,False,-0.041555752735876916,0.030721469456391648,High
Real Estate,123,0.45162337662337665,0.37202380952380953,0.27976190476190477,True,0.07959956709956711,0.05882064844744839,Medium
Utilities,147,0.35875402792696026,0.21599999999999997,0.31866666666666665,True,0.1427540279269603,0.42522974101921474,Low
