feature,importance
finetuned_finbert_positive_mean_lag3,0.0016896591271528013
finetuned_finbert_positive_mean_lag1,0.0016644593947076278
finetuned_finbert_neutral_mean_lag3,0.0014656148268080628
vader_combined_compound_mean_lag2,0.0012094432204033316
finetuned_finbert_neutral_mean_lag1,0.0009011599207824946
ss_combined_pos_std,0.0008930434373536738
vader_combined_negative_mean_lag2,0.0008760794267524582
finetuned_finbert_negative_mean_lag1,0.0008135834259212529
finetuned_finbert_neutral_mean,0.0007897598166062025
finetuned_finbert_positive_mean,0.0007803680601901146
ss_combined_neg_max,0.000779745191605135
vader_combined_neutral_max,0.0007552047413315495
ss_combined_neg_std,0.0005789914429917013
finetuned_finbert_positive_mean_lag2,0.0005237249204291599
company_mentioned_mean,0.0004638625370616846
vader_combined_neutral_std,0.0004583596908894786
finetuned_finbert_neutral_max,0.00045731002428595665
ss_combined_neg_mean,0.00034434453654511954
finetuned_finbert_positive_max,0.0002829985778938264
finetuned_finbert_negative_mean_lag2,0.0002712563570784502
finetuned_finbert_negative_max,0.00024908237819846123
vader_combined_neutral_mean_lag3,0.00023924881203537987
finetuned_finbert_neutral_mean_lag2,0.00023610273862576306
vader_combined_compound_mean,0.00023452928058631677
finetuned_finbert_neutral_std,0.00022220203046889123
vader_combined_positive_std,0.00022058576686429147
finetuned_finbert_negative_mean_lag3,0.00022055322912896733
vader_combined_compound_max,0.00021695551198144133
vader_combined_positive_mean_lag3,0.0001876696680681184
vader_combined_neutral_mean_lag2,0.0001837209809265216
ss_combined_pos_max,0.00018174352450590095
vader_combined_compound_mean_lag1,0.00016752135709684806
vader_combined_neutral_mean_lag1,0.00014807831679925114
finetuned_finbert_negative_mean,0.00014457590156342592
article_count,0.00013417677380844162
vader_combined_positive_mean_lag2,0.00011470451613077187
ss_combined_pos_mean_lag3,0.00010422749361177995
vader_combined_negative_mean,0.00010013761698046061
ss_combined_pos_mean_lag1,9.630116379903697e-05
vader_combined_positive_mean_lag1,8.26782176650088e-05
finetuned_finbert_negative_std,7.231533345154935e-05
vader_combined_compound_mean_lag3,6.826931634812587e-05
ss_combined_pos_mean_lag2,6.804573346992247e-05
ss_combined_neg_mean_lag2,5.5446336186595405e-05
vader_combined_negative_mean_lag3,5.3699927985844664e-05
vader_combined_compound_std,4.6189175362329625e-05
ss_combined_neg_mean_lag1,3.646417637848791e-05
ss_combined_pos_mean,3.203411986170601e-05
vader_combined_positive_max,3.193209506067289e-05
vader_combined_negative_mean_lag1,2.281635121261315e-05
vader_combined_negative_max,1.7480772748026126e-05
ss_combined_neg_mean_lag3,1.7379255932424956e-05
vader_combined_negative_std,1.65520993099574e-05
vader_combined_neutral_mean,8.516594434632838e-06
vader_combined_positive_mean,6.031724434284745e-06
finetuned_finbert_positive_std,5.779192464370213e-06
